INDEX	H2	H2_SE	H2_CHISQ	H2_P	GC	GC_SE	GC_CHISQ	GC_P
127	1.75431e-01	1.31978e-02	1.76689e+02	2.56075e-40	-1.53536e-02	5.43257e-02	7.98753e-02	7.77467e-01
128	1.60365e-01	1.31403e-02	1.48938e+02	2.95804e-34	-3.01029e-02	5.57397e-02	2.91666e-01	5.89155e-01
129	1.25008e-01	1.30003e-02	9.24628e+01	6.86038e-22	-5.58444e-02	6.09230e-02	8.40226e-01	3.59332e-01
130	1.79509e-01	1.32132e-02	1.84570e+02	4.87189e-42	-1.06725e-02	5.28979e-02	4.07057e-02	8.40107e-01
131	1.51139e-01	1.31045e-02	1.33018e+02	8.96074e-31	-2.09391e-02	5.72067e-02	1.33974e-01	7.14347e-01
132	1.70465e-01	1.31790e-02	1.67303e+02	2.87186e-38	-1.43202e-02	5.22720e-02	7.50515e-02	7.84119e-01
133	1.33934e-01	1.30363e-02	1.05552e+02	9.24383e-25	-2.81400e-02	5.75249e-02	2.39296e-01	6.24715e-01
134	1.54991e-01	1.31195e-02	1.39565e+02	3.31348e-32	-2.13846e-02	5.38420e-02	1.57747e-01	6.91240e-01
135	1.59800e-01	1.31382e-02	1.47940e+02	4.88925e-34	-2.31648e-02	5.52015e-02	1.76098e-01	6.74748e-01
136	1.27229e-01	1.30093e-02	9.56446e+01	1.37477e-22	-3.06492e-02	5.87949e-02	2.71743e-01	6.02165e-01
137	1.39467e-01	1.30585e-02	1.14067e+02	1.25969e-26	-3.24901e-02	5.85306e-02	3.08131e-01	5.78830e-01
138	1.61363e-01	1.31442e-02	1.50710e+02	1.21279e-34	-4.12162e-02	5.78623e-02	5.07394e-01	4.76269e-01
139	1.51683e-01	1.31066e-02	1.33934e+02	5.64752e-31	-3.18127e-02	5.95194e-02	2.85681e-01	5.93001e-01
140	1.75346e-01	1.31975e-02	1.76527e+02	2.77856e-40	-4.39908e-02	5.52096e-02	6.34883e-01	4.25570e-01
141	1.55804e-01	1.31227e-02	1.40965e+02	1.63728e-32	-3.77061e-02	5.84682e-02	4.15896e-01	5.18992e-01
142	1.34927e-01	1.30403e-02	1.07058e+02	4.32422e-25	-2.51389e-02	6.23881e-02	1.62363e-01	6.86990e-01
143	1.19323e-01	1.29771e-02	8.45464e+01	3.75302e-20	-1.11914e-02	6.57944e-02	2.89329e-02	8.64934e-01
144	1.76232e-01	1.32008e-02	1.78224e+02	1.18362e-40	-4.72165e-02	5.37375e-02	7.72025e-01	3.79591e-01
145	1.55283e-01	1.31207e-02	1.40066e+02	2.57442e-32	-3.47241e-02	5.76954e-02	3.62225e-01	5.47273e-01
146	1.29052e-01	1.30167e-02	9.82948e+01	3.60512e-23	-1.43140e-02	6.31235e-02	5.14212e-02	8.20609e-01
147	1.07750e-01	1.29293e-02	6.94515e+01	7.83155e-17	3.42078e-04	6.88578e-02	2.46799e-05	9.96036e-01
148	1.70393e-01	1.31787e-02	1.67168e+02	3.07401e-38	-5.69491e-02	5.27327e-02	1.16631e+00	2.80161e-01
149	1.54055e-01	1.31159e-02	1.37961e+02	7.43102e-32	-3.28179e-02	5.60380e-02	3.42970e-01	5.58120e-01
150	1.28000e-01	1.30124e-02	9.67608e+01	7.82307e-23	-2.39046e-03	6.19684e-02	1.48807e-03	9.69229e-01
151	1.60210e-01	1.31397e-02	1.48664e+02	3.39683e-34	-9.23704e-02	5.27183e-02	3.07003e+00	7.97480e-02
152	1.56931e-01	1.31271e-02	1.42916e+02	6.13202e-33	-7.18232e-02	5.31020e-02	1.82939e+00	1.76199e-01
153	1.45896e-01	1.30839e-02	1.24340e+02	7.09782e-29	-3.60001e-02	5.51390e-02	4.26275e-01	5.13823e-01
154	1.20363e-01	1.29814e-02	8.59690e+01	1.82776e-20	4.25739e-03	6.14620e-02	4.79813e-03	9.44776e-01
155	1.41101e-01	1.30649e-02	1.16639e+02	3.44431e-27	-1.24561e-01	5.61714e-02	4.91741e+00	2.65873e-02
156	1.41745e-01	1.30675e-02	1.17660e+02	2.05814e-27	-9.63541e-02	5.52622e-02	3.04008e+00	8.12321e-02
157	1.33015e-01	1.30327e-02	1.04167e+02	1.85922e-24	-4.69283e-02	5.59634e-02	7.03170e-01	4.01720e-01
158	1.32859e-01	1.30320e-02	1.03933e+02	2.09227e-24	-1.21235e-01	5.79170e-02	4.38173e+00	3.63261e-02
159	1.27996e-01	1.30124e-02	9.67553e+01	7.84463e-23	-6.50065e-02	5.74964e-02	1.27830e+00	2.58216e-01
160	1.13122e-01	1.29516e-02	7.62862e+01	2.45397e-18	-1.70526e-01	6.34181e-02	7.23029e+00	7.16835e-03
161	1.19816e-01	1.29791e-02	8.52195e+01	2.67021e-20	-1.37789e-01	6.15767e-02	5.00720e+00	2.52421e-02
162	1.18155e-01	1.29723e-02	8.29604e+01	8.37158e-20	-7.48751e-02	6.08488e-02	1.51415e+00	2.18506e-01
163	1.16183e-01	1.29642e-02	8.03141e+01	3.19374e-19	-1.63108e-01	6.27532e-02	6.75584e+00	9.34412e-03
164	1.19450e-01	1.29776e-02	8.47186e+01	3.43999e-20	-1.34627e-01	6.20561e-02	4.70650e+00	3.00488e-02
165	1.17291e-01	1.29688e-02	8.17959e+01	1.50888e-19	-7.95183e-02	6.24468e-02	1.62149e+00	2.02884e-01
166	1.30888e-01	1.30241e-02	1.00995e+02	9.21952e-24	-1.39013e-01	6.02834e-02	5.31762e+00	2.11108e-02
167	1.34845e-01	1.30400e-02	1.06934e+02	4.60192e-25	-1.14170e-01	5.97009e-02	3.65714e+00	5.58293e-02
168	1.28147e-01	1.30130e-02	9.69751e+01	7.02045e-23	-7.42662e-02	6.12784e-02	1.46882e+00	2.25532e-01
169	1.35895e-01	1.30442e-02	1.08535e+02	2.05195e-25	-1.10829e-01	6.01177e-02	3.39860e+00	6.52517e-02
170	1.43263e-01	1.30735e-02	1.20083e+02	6.06614e-28	-8.55610e-02	5.91688e-02	2.09106e+00	1.48163e-01
171	1.34768e-01	1.30397e-02	1.06816e+02	4.88385e-25	-5.63401e-02	6.08568e-02	8.57072e-01	3.54559e-01
172	1.40075e-01	1.30609e-02	1.15021e+02	7.78492e-27	-8.31363e-02	5.99735e-02	1.92160e+00	1.65681e-01
173	1.47904e-01	1.30918e-02	1.27632e+02	1.35081e-29	-5.96309e-02	5.92034e-02	1.01449e+00	3.13829e-01
174	1.42525e-01	1.30706e-02	1.18902e+02	1.10041e-27	-5.97757e-02	5.92475e-02	1.01791e+00	3.13015e-01
175	1.51077e-01	1.31043e-02	1.32915e+02	9.43885e-31	-3.66682e-02	5.86306e-02	3.91140e-01	5.31701e-01
176	1.47643e-01	1.30908e-02	1.27203e+02	1.67750e-29	-4.28020e-02	5.76699e-02	5.50845e-01	4.57973e-01
177	1.58784e-01	1.31342e-02	1.46151e+02	1.20312e-33	-2.23445e-02	5.60288e-02	1.59044e-01	6.90038e-01
178	1.57985e-01	1.31311e-02	1.44753e+02	2.43167e-33	-3.22915e-02	5.55745e-02	3.37617e-01	5.61208e-01
179	1.66463e-01	1.31638e-02	1.59910e+02	1.18414e-36	-1.40799e-02	5.38305e-02	6.84132e-02	7.93661e-01
180	1.68127e-01	1.31701e-02	1.62966e+02	2.54486e-37	-2.86811e-02	5.37029e-02	2.85231e-01	5.93293e-01
181	1.73631e-01	1.31910e-02	1.73259e+02	1.43687e-39	-1.32073e-02	5.25361e-02	6.31988e-02	8.01510e-01
182	1.67498e-01	1.31677e-02	1.61807e+02	4.55843e-37	-2.84379e-02	5.38407e-02	2.78980e-01	5.97371e-01
183	1.70510e-01	1.31792e-02	1.67387e+02	2.75426e-38	-1.73520e-02	5.33909e-02	1.05624e-01	7.45182e-01
184	1.57588e-01	1.31296e-02	1.44059e+02	3.44815e-33	-3.28941e-02	5.56846e-02	3.48952e-01	5.54707e-01
185	1.39860e-01	1.30600e-02	1.14684e+02	9.23047e-27	-4.06925e-02	5.88710e-02	4.77778e-01	4.89431e-01
186	1.14049e-01	1.29554e-02	7.74957e+01	1.33010e-18	-4.85995e-02	6.48611e-02	5.61428e-01	4.53685e-01
187	9.84746e-02	1.28904e-02	5.83602e+01	2.18267e-14	-6.46547e-02	6.88829e-02	8.81004e-01	3.47927e-01
188	1.63076e-01	1.31508e-02	1.53771e+02	2.59845e-35	-8.66226e-02	5.23929e-02	2.73349e+00	9.82644e-02
189	1.49684e-01	1.30988e-02	1.30584e+02	3.05364e-30	-1.10994e-01	5.43459e-02	4.17123e+00	4.11160e-02
190	1.35494e-01	1.30426e-02	1.07922e+02	2.79507e-25	-1.38434e-01	5.76290e-02	5.77037e+00	1.62986e-02
191	1.26667e-01	1.30070e-02	9.48352e+01	2.06914e-22	-1.55636e-01	6.01171e-02	6.70232e+00	9.62873e-03
192	1.25688e-01	1.30031e-02	9.34319e+01	4.20413e-22	-1.57160e-01	6.06324e-02	6.71858e+00	9.54137e-03
193	1.33959e-01	1.30365e-02	1.05591e+02	9.06472e-25	-1.41153e-01	5.93851e-02	5.64969e+00	1.74585e-02
